serves,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cheesey Chorizo Chicken and Spinach,Coconut oil,1/2 tbsp,Red Onion,100g,Chicken breast,240g,cherry tomato,56g,Spinach,150g,mozzarella ball,1,pine nut,20g,chorizo,75g,,,,,,,,
2,Chicken with creamy wild mushroom and tarragon sauce,olive oil ,1 tbsp,mushroom,300g,chicken breast,450g,garlic,10g,spinach,100g,double cream,150ml,tarragon,14g,white wine,5.91ml,,,,,,,,
1,super spedy beef stroganoff,Coconut oil,2 tbsp,shallots,4 tbsp,fillet steak,300g,chestnut mushroom,18g,smoked paprika,2tsp,beef stock,75ml,soured cream,125ml,parsley,27.5g,lemon juice,2 tbsp,,,,,,
4,Thai Green Curry,Coconut oil,2 tbsp,star anise,38g,king prawns,450g,aubergine,190g,coconut milk ,400ml,thai green curry paste,2 tbsp,baby sweetcorn,112g,fish sauce ,2 tbsp,lime juice,4 tbsp,lime,44g,basil,35g,red chilli,75g
1,indian spiced lamb,natural yogurt,150g,ground almonds,2 tbsp,garam masala,2 tsp,smoked paprika,1tsp,spinach,100g,lamb cutlets,800g,cherry tomato,56g,cucumber,6g,coriander,41g,lemon juice,2 tbsp,,,,
1,chicken with smoked paprika and almonds,Coconut oil,1/2 tbsp,Red Onion,50g,Chicken breast,240g,garlic,10g,spinach,100g,smoked paprika,2tsp,cherry tomato,70g,red pepper,113g,oregano,1 tsp,lemon juice,2 tbsp,blanched almond,20g,,
2,Creamy Steak and Spinach,olive oil ,2 tbsp,mushroom,144g,Sirloin Steak,500g,white wine,5.91ml,spinach,200g,double cream,75ml,,,,,,,,,,,,
2,Goan Fish Curry,Coconut oil,1 tbsp,ginger,21g,haddock fillet,500g,green chilli,75g,tomato,62g,garlic,30g,red onion,100g,garam masala,1tbsp,ground cumin,1tbsp,coconut milk,400ml,lime juice,4 tbsp,coriander,41g
1,"tomatoes, eggs and chorizo",olive oil ,1/2 tbsp,chilli flakes,1/8tsp,chorizo,75g,spring onion,30g,chopped tomato,400ml,eggs,100g,grated parmesan,2 tbsp,parsley,27.5g,,,,,,,,
1,Coddled eggs with spinach and bacon,olive oil ,1/2 tbsp,butter,1 tbsp,smoked bacon,120g,eggs,30g,spinach,200g,pine nuts,2 tbsp,,,,,,,,,,,,
1,Veggie chilli con carne,Mushroom,100g,Onion,1,Pepper,1,Kidney beans,400g,Tinned tomatoes,400g,Rice,75g,,,,,,,,,,,,
